Neighbourhood,Area,Residential Units,Latitude,Longtitude
Airport,41.63,649,5.898035,118.0612049
Anggerik,15.828,408,5.8613221,118.0372457
Astana Height,100.27,483,5.8535839,118.11692479999999
Berhala Darat,23.2,192,5.850209400000001,118.1307628
Bukit Permai,270.89,4142,5.8646367,118.08497450000002
Bunga Matahari,11.88,172,5.8658095,118.0758739
Casa San Uno,38.89,307,5.8652331,118.0725562
Chrysanthemum,11.4,154,5.8574799,118.10587620000001
Damai & Sri Taman,21.67,123,5.8584821,118.0789209
Evergreen,23.99,48,5.8734638,118.0578338
Fajar,55.61,572,5.83697575,118.0984632
Fajar Perdana,15.03,185,5.8843388,118.05722040000002
Fortune,22.4,126,5.8855413,118.0309699
Fulliwa,19.66,164,5.8625924000000005,118.0858999
Garden Villa,25.76,82,5.8391337,118.1158919
Grandview,93.0,746,5.8625122,118.119377
Hap Seng Properties,16.35,74,5.8336458,118.09257649999999
Hing Lee,11.75,227,5.8620333,118.0902866
Indah,56.27,356,5.8420670999999995,118.06609499999999
Indah Jaya,235.68,2752,5.843796,118.06720049999998
Jade Garden,1154.0,8,5.8621697,118.11031979999998
Kam Jai Yen,8.51,250,5.8493444000000006,118.1102341
Karamunting Baru,17.67,40,5.8103153,118.07263529999999
Karamunting Flat,20.87,513,5.8136144,118.0651274
Kenari,3.44,590,5.895072,118.04365929999999
Khong Lok (Hillside),24.809,168,5.8783572,118.05991570000002
LPPB,27.21,984,5.862075,118.0847773
Lucky & Wemin,43.544,260,5.8631125,118.0627675
Mawar,175.386,2396,5.8422155,118.03295700000001
Megah,44.94,478,5.87579845,118.04215009999999
Melanta,9.04,143,5.8101211,118.07952920000001
Melrose,14.58,44,5.8391337,118.1158919
Merpati,154.2,494,5.889157099999999,118.0425217
Mesra,23.18,1000,5.8612709,118.07766389999999
Mutiara,64.79,836,5.854957700000001,118.0875702
Nuri (Oscaraya),32.65,837,5.8910941,118.0406896
Pak Tak,29.886,148,5.8806866,118.0565125
Pecky Valley,36.61,166,5.8571413,118.1001943
Pertama,53.32,438,5.8613392,118.06927649999999
Po Hing,190.17,160,5.8383913,118.04736319999999
Rajawali,154.2,1004,5.8905782,118.039349
Regent,3.449,46,5.8391337,118.1158919
Ria,3.406,44,5.838738200000001,118.11634769999999
Rimba,38.98,280,5.8848392,118.04829479999998
Samudera,20.01,586,5.85579,118.0911537
Sanny Estate,34.8,154,5.8558775999999995,118.1180203
Seaview,3.763,152,5.867749,118.11566699999999
Sejati,22.89,1086,5.8879107,118.0562512
Sejati Ujana,99.64,1850,5.891525700000001,118.049406
Seletar,65.0,50,5.8381340999999995,118.04530990000002
Sentosa,49.3,928,5.8563445,118.09815929999999
Seri Labuk,15.0,178,5.8718490999999995,118.02671509999999
Sibuga,102.6,647,5.871911,118.0480393
Sri Rimba,29.2,414,5.885663200000001,118.04730649999999
Tai Fai Yin,27.6,160,5.883818,118.03750910000001
Tinosan,24.51,235,5.8610315,118.0745175
Tshun Ngen,70.26,304,5.85872755,118.0658041
Tyng,111.7,585,5.8676695,118.0599967
Utama,41.263000000000005,329,5.864600599999999,118.05856909999999
Villa Permai Jaya,20.0,968,5.8561537,118.05714909999999
Vista,10.7,172,5.8585237,118.04121640000001
Wijaya,6.03,196,5.8846647,118.0455307
Wira,9.93,312,5.8491882,118.04268
Yeng Seng,11.75,125,5.8588346,118.0980558
Yii Villa,1.3,100,5.8542385999999995,118.12679540000002
